case_id,dice
BraTS-PED-00261-000,0.90062058
BraTS-PED-00145-000,0.17179970
BraTS-PED-00199-000,0.90688807
BraTS-PED-00161-000,0.89701444
BraTS-PED-00124-000,0.92034864
BraTS-PED-00048-000,0.88003600
BraTS-PED-00156-000,0.20824188
BraTS-PED-00137-000,0.81967497
BraTS-PED-00168-000,0.87482518
BraTS-PED-00091-000,0.87332183
BraTS-PED-00053-000,0.86144447
BraTS-PED-00221-000,0.90564895
BraTS-PED-00182-000,0.83166039
BraTS-PED-00041-000,0.83092129
BraTS-PED-00035-000,0.91702873
BraTS-PED-00131-000,0.84502792
BraTS-PED-00139-000,0.88569629
BraTS-PED-00259-000,0.91516829
BraTS-PED-00008-000,0.70313096
BraTS-PED-00158-000,0.95064056
BraTS-PED-00191-000,0.94597089
BraTS-PED-00163-000,0.69657660
BraTS-PED-00129-000,0.88600421
BraTS-PED-00040-000,0.85859537
BraTS-PED-00242-000,0.87964648
BraTS-PED-00109-000,0.90277612
BraTS-PED-00028-000,0.85396838
BraTS-PED-00220-000,0.91127378
BraTS-PED-00079-000,0.91029656
BraTS-PED-00232-000,0.92380482
BraTS-PED-00207-000,0.90702945
BraTS-PED-00036-000,0.87613529
BraTS-PED-00173-000,0.85261261
BraTS-PED-00130-000,0.91433311
BraTS-PED-00078-000,0.93149608
BraTS-PED-00038-000,0.85234690
BraTS-PED-00184-000,0.91163415
BraTS-PED-00094-000,0.88158739
