case_id,dice
BraTS-PED-00261-000,0.73106354
BraTS-PED-00145-000,0.29103017
BraTS-PED-00199-000,0.92573804
BraTS-PED-00161-000,0.90486395
BraTS-PED-00124-000,0.91335422
BraTS-PED-00048-000,0.89589345
BraTS-PED-00156-000,0.51469082
BraTS-PED-00137-000,0.81456101
BraTS-PED-00168-000,0.88420057
BraTS-PED-00091-000,0.79976940
BraTS-PED-00053-000,0.88021296
BraTS-PED-00221-000,0.91357285
BraTS-PED-00182-000,0.87262547
BraTS-PED-00041-000,0.83866650
BraTS-PED-00035-000,0.90479082
BraTS-PED-00131-000,0.78484601
BraTS-PED-00139-000,0.89671361
BraTS-PED-00259-000,0.91100919
BraTS-PED-00008-000,0.79067940
BraTS-PED-00158-000,0.95295393
BraTS-PED-00191-000,0.95318836
BraTS-PED-00163-000,0.67760748
BraTS-PED-00129-000,0.90208924
BraTS-PED-00040-000,0.81513792
BraTS-PED-00242-000,0.84728259
BraTS-PED-00109-000,0.92106766
BraTS-PED-00028-000,0.80873579
BraTS-PED-00220-000,0.91288781
BraTS-PED-00079-000,0.89991206
BraTS-PED-00232-000,0.93612814
BraTS-PED-00207-000,0.91192591
BraTS-PED-00036-000,0.87659508
BraTS-PED-00173-000,0.85786629
BraTS-PED-00130-000,0.90039688
BraTS-PED-00078-000,0.92407507
BraTS-PED-00038-000,0.86618161
BraTS-PED-00184-000,0.91871655
BraTS-PED-00094-000,0.88867074
